ID,True Label,Predicted Label
337,102,105
338,86,84
339,101,100
340,77,77
341,108,108
342,70,55
343,91,91
344,53,80
345,28,26
346,112,108
347,126,77
348,128,79
349,84,35
350,34,19
351,107,58
352,80,126
353,80,19
354,104,104
355,91,52
356,24,84
357,86,86
358,96,60
359,58,58
360,24,85
361,24,42
362,44,108
363,70,70
364,24,25
365,68,67
366,104,103
367,41,2
368,24,67
369,55,55
370,113,77
371,112,108
372,99,77
373,32,79
374,45,108
375,20,19
376,129,70
377,21,108
378,96,96
379,104,103
380,132,132
381,127,127
382,100,100
383,70,55
384,77,77
385,25,84
386,108,75
387,70,70
388,19,19
389,58,102
390,100,52
391,132,132
392,113,77
393,70,70
394,109,108
395,133,103
396,75,58
397,108,109
398,24,68
399,35,49
400,29,18
401,0,0
402,0,1
403,44,35
404,19,19
405,66,84
406,52,100
407,104,132
408,51,108
409,108,108
410,17,71
411,91,91
412,133,103
413,19,19
414,105,106
415,109,126
416,102,103
417,19,34
418,51,105
419,66,52
420,20,34
421,6,102
422,67,68
423,57,98
424,31,102
425,25,25
426,102,132
427,108,109
428,134,108
429,76,108
430,108,108
431,44,70
432,81,77
433,132,132
434,59,98
435,24,25
436,96,108
437,76,108
438,109,108
439,85,85
440,52,49
441,88,88
442,70,70
443,67,55
444,83,24
445,25,51
446,99,100
447,70,55
448,34,22
449,9,1
450,112,112
451,70,101
452,71,85
453,5,21
454,19,19
455,35,49
456,70,70
457,39,133
458,87,84
459,86,85
460,84,84
461,66,101
462,102,103
463,55,22
464,76,108
465,109,108
466,79,79
467,85,85
468,111,99
469,34,22
470,91,51
471,25,25
472,89,43
473,48,48
474,112,108
475,99,126
476,84,85
477,108,108
478,108,108
479,107,58
480,24,67
481,133,133
482,29,100
483,108,108
484,103,103
485,68,84
486,104,77
487,125,1
488,84,85
489,98,1
490,67,67
491,98,125
492,55,55
493,108,108
494,88,85
495,26,25
496,113,72
497,128,18
498,0,108
499,78,79
500,52,100
501,47,25
502,62,99
503,117,84
504,57,126
505,113,77
506,24,67
507,85,85
508,104,103
509,75,75
510,68,67
511,42,84
512,71,70
513,108,108
514,53,108
515,45,108
516,128,91
517,91,91
518,86,85
519,28,19
520,0,112
521,99,99
522,71,70
523,28,91
524,133,103
525,96,42
526,130,70
527,109,109
528,104,103
529,25,34
530,66,85
531,62,77
532,35,67
533,25,50
534,39,106
535,37,108
536,26,50
537,103,103
538,84,85
539,5,108
540,104,103
541,127,79
542,82,85
543,108,108
544,37,108
545,21,108
546,71,66
547,44,113
548,111,99
549,102,103
550,70,70
551,98,18
552,33,22
553,84,84
554,70,70
555,43,43
556,106,106
557,109,108
558,108,108
559,85,85
560,45,108
561,2,108
562,43,42
563,67,48
564,104,86
565,35,35
566,45,108
567,89,108
568,85,85
569,113,104
570,55,49
571,26,70
572,104,108
573,55,55
574,24,53
575,116,24
576,127,79
577,58,103
578,22,55
579,70,70
580,26,121
581,78,79
582,2,108
583,70,70
584,134,108
585,91,80
586,126,108
587,110,108
588,77,77
589,20,83
590,29,127
591,28,78
592,123,85
593,76,108
594,108,108
595,86,126
596,26,84
597,26,85
598,127,28
599,25,24
600,99,82
601,58,58
602,79,79
603,79,79
604,85,85
605,108,108
606,23,34
607,36,36
608,49,34
609,86,85
610,20,19
611,116,24
612,49,34
613,125,26
614,49,22
615,80,126
616,55,70
617,109,17
618,111,108
619,127,99
620,108,108
621,67,67
622,133,132
623,69,69
624,85,132
625,84,88
626,109,108
627,133,133
628,108,108
629,23,22
630,108,108
631,132,132
632,114,103
633,100,100
634,108,108
635,76,108
636,86,86
637,129,68
638,45,44
639,83,83
640,78,79
641,51,83
642,113,24
643,78,79
644,100,100
645,25,85
646,118,67
647,112,92
648,98,77
649,81,82
650,98,98
651,85,85
652,64,77
653,103,103
654,77,100
655,125,25
656,107,106
657,49,49
658,85,85
659,97,108
660,52,100
661,107,106
662,33,21
663,111,108
664,50,49
665,68,67
666,103,103
667,43,108
668,109,111
669,38,82
670,113,1
671,71,67
672,103,103
673,17,82
674,108,108
675,120,121
676,2,108
677,86,86
678,23,22
679,77,72
680,68,85
681,102,26
682,84,85
683,79,27
684,32,19
685,134,77
686,21,49
687,104,103
688,109,108
689,103,103
690,85,85
691,1,1
692,65,58
693,70,70
694,64,85
695,24,81
696,44,77
697,120,70
698,102,132
699,127,127
700,69,70
701,91,24
702,85,125
703,66,70
704,91,25
705,102,85
706,108,108
707,126,85
708,71,70
709,87,69
710,106,106
711,108,108
712,112,112
713,67,67
714,29,100
715,125,82
716,49,100
717,127,28
718,108,108
719,48,48
720,0,108
721,97,108
722,44,49
723,84,127
724,105,106
725,78,78
726,34,19
727,60,60
728,108,108
729,26,80
730,50,25
731,85,85
732,79,79
733,109,108
734,34,22
735,98,113
736,104,1
737,100,52
738,111,108
739,25,36
740,18,22
741,26,70
742,98,64
743,23,50
744,81,91
745,112,133
746,82,82
747,57,132
748,104,133
749,124,132
750,29,28
751,54,35
752,76,108
753,68,70
754,43,132
755,43,85
756,109,108
757,107,70
758,108,108
759,104,103
760,77,77
761,106,106
762,68,35
763,130,55
764,132,125
765,48,70
766,9,85
767,69,70
768,112,70
769,109,108
770,80,36
771,70,70
772,101,100
773,52,100
774,111,103
775,99,52
776,9,108
777,47,108
778,0,108
779,82,42
780,103,103
781,68,2
782,28,28
783,91,25
784,85,84
785,133,108
786,108,108
787,99,25
788,34,19
789,52,52
790,20,19
791,113,6
792,104,9
793,102,133
794,27,27
795,116,71
796,25,48
797,103,103
798,65,98
799,51,100
800,25,19
801,49,22
802,76,108
803,2,108
804,103,58
805,28,28
806,26,91
807,55,55
808,27,99
809,27,27
810,66,87
811,110,108
812,133,133
813,108,108
814,22,22
815,78,80
816,67,67
817,33,64
818,48,48
819,28,29
820,108,108
821,47,25
822,34,22
823,1,1
824,22,22
825,103,103
826,130,70
827,110,108
828,132,121
829,69,49
830,20,91
831,53,52
832,112,106
833,59,70
834,66,132
835,70,84
836,108,108
837,99,19
838,134,133
839,25,26
840,52,101
841,112,34
842,102,1
843,107,112
844,70,25
845,37,42
846,84,88
847,84,67
848,103,103
849,63,24
850,108,108
851,45,124
852,85,85
853,20,34
854,89,108
855,50,51
856,111,75
857,111,108
858,84,84
859,22,49
860,85,85
861,102,103
862,42,84
863,27,27
864,110,108
865,68,103
866,120,70
867,116,113
868,115,125
869,78,79
870,22,22
871,123,124
872,108,108
873,24,49
874,108,108
875,51,100
876,90,25
877,101,67
878,67,67
879,49,49
880,25,25
881,50,27
882,70,70
883,28,25
884,98,77
885,73,106
886,134,103
887,86,85
888,92,99
889,27,92
890,25,24
891,132,132
892,118,91
893,66,71
894,68,100
895,25,19
896,98,126
897,70,71
898,104,103
899,48,24
900,108,108
901,19,19
902,66,71
903,105,106
904,104,113
905,52,100
906,58,58
907,77,77
908,115,108
909,38,82
910,44,105
911,102,58
912,58,58
913,23,22
914,0,108
915,24,84
916,87,55
917,108,108
918,120,70
919,109,108
920,59,106
921,73,67
922,50,19
923,46,108
924,36,85
925,133,133
926,17,113
927,42,36
928,58,58
929,26,123
930,27,85
931,44,1
932,104,103
933,104,133
934,86,67
935,112,108
936,39,86
937,77,77
938,26,84
939,52,100
940,22,22
941,19,19
942,128,26
943,37,108
944,99,100
945,109,1
946,85,132
947,19,19
948,76,108
949,51,52
950,84,26
951,106,106
952,18,78
953,30,22
954,86,108
955,52,52
956,68,70
957,50,132
958,11,108
959,24,26
960,108,108
961,76,108
962,0,108
963,1,1
964,58,59
965,99,99
966,66,100
967,52,49
968,112,108
969,110,108
970,75,75
971,28,28
972,103,103
973,91,91
974,27,127
975,11,108
976,108,108
977,57,125
978,112,96
979,26,127
980,76,108
981,122,121
982,114,103
983,78,79
984,23,22
985,26,99
986,108,108
987,52,84
988,75,58
989,112,103
990,22,22
991,96,108
992,57,58
993,71,55
994,39,43
995,22,34
996,9,77
997,111,104
998,104,104
999,62,36
1000,108,108
1001,86,85
1002,28,49
1003,9,109
1004,55,67
1005,108,108
1006,121,121
1007,77,77
1008,75,79
1009,84,27
1010,112,67
1011,112,112
1012,28,28
1013,133,133
1014,30,22
1015,76,108
1016,24,25
1017,53,53
1018,85,43
1019,108,108
1020,55,70
1021,43,112
1022,42,42
1023,70,70
1024,113,106
1025,106,106
1026,51,101
1027,81,82
1028,81,85
1029,129,79
1030,103,103
1031,70,70
1032,103,103
1033,104,103
1034,52,52
1035,66,44
1036,81,85
1037,19,18
1038,81,82
1039,104,103
1040,67,25
1041,25,49
1042,98,18
1043,109,17
1044,18,19
1045,44,108
1046,26,67
1047,79,28
1048,75,111
1049,19,100
1050,108,108
1051,71,70
1052,47,68
1053,111,36
1054,58,103
1055,49,49
1056,121,67
1057,103,103
1058,43,85
1059,46,58
1060,95,67
1061,111,108
1062,49,49
1063,24,67
1064,78,27
1065,33,19
1066,108,108
1067,44,43
1068,113,108
1069,112,108
1070,44,100
1071,20,25
1072,86,85
1073,26,25
1074,84,67
1075,9,108
1076,25,80
1077,52,67
1078,108,108
1079,44,132
1080,25,19
1081,109,108
1082,92,79
1083,100,100
1084,84,100
1085,76,9
1086,80,36
1087,86,84
1088,58,103
1089,27,108
1090,108,108
1091,80,52
1092,29,25
1093,25,84
1094,108,108
1095,132,132
1096,22,22
1097,38,123
1098,130,70
1099,49,49
1100,68,36
1101,26,81
1102,25,25
1103,104,24
1104,69,71
1105,27,126
1106,109,108
1107,49,49
1108,49,49
1109,108,108
1110,112,134
1111,110,17
1112,26,85
1113,108,1
1114,2,108
1115,102,103
1116,47,132
1117,51,82
1118,106,106
1119,88,88
1120,76,108
1121,132,132
1122,34,49
1123,40,112
1124,19,19
1125,6,17
1126,39,108
1127,108,108
1128,79,79
1129,65,113
1130,110,109
1131,68,69
1132,132,132
1133,42,82
1134,24,85
1135,133,133
1136,128,79
1137,34,25
1138,25,49
1139,99,53
1140,76,108
1141,103,103
1142,21,22
1143,109,108
1144,83,99
1145,41,106
1146,99,67
1147,46,108
1148,113,9
1149,22,22
1150,104,113
1151,23,19
1152,71,121
1153,66,53
1154,46,42
1155,113,77
1156,60,42
1157,103,103
1158,66,53
1159,25,77
1160,60,53
1161,6,15
1162,36,81
1163,105,105
1164,85,85
1165,131,100
1166,34,101
1167,131,55
1168,118,100
1169,108,108
1170,107,107
1171,103,133
1172,70,121
1173,29,29
1174,48,55
1175,96,17
1176,61,9
1177,26,127
1178,102,103
1179,109,108
1180,108,108
1181,77,108
1182,0,108
1183,0,0
1184,71,70
1185,131,84
1186,71,70
1187,37,60
1188,27,25
1189,56,70
1190,77,77
1191,130,70
1192,109,108
1193,101,25
1194,71,71
1195,122,79
1196,102,47
1197,82,85
1198,68,82
1199,35,55
1200,25,48
1201,92,78
1202,112,71
1203,134,103
1204,68,84
1205,28,91
1206,100,77
1207,109,109
1208,101,42
1209,129,85
1210,28,25
1211,29,19
1212,21,18
1213,109,108
1214,62,77
1215,68,81
1216,83,83
1217,52,100
1218,79,79
1219,111,108
1220,81,99
1221,99,108
1222,86,111
1223,58,99
1224,108,108
1225,43,36
1226,55,67
1227,108,108
1228,22,34
1229,97,108
1230,69,67
1231,111,108
1232,108,108
1233,108,108
1234,72,72
1235,134,132
1236,109,108
1237,49,48
1238,108,108
1239,85,99
1240,108,108
1241,103,103
1242,25,67
1243,50,19
1244,34,19
1245,70,70
1246,46,84
1247,109,109
1248,102,102
1249,63,80
1250,77,77
1251,66,66
1252,113,26
1253,106,106
1254,90,91
1255,106,106
1256,113,126
1257,22,22
1258,44,109
1259,26,25
1260,26,67
1261,23,101
1262,122,132
1263,35,24
1264,18,19
1265,67,67
1266,68,66
1267,74,113
1268,134,59
1269,42,26
1270,1,1
1271,108,108
1272,55,55
1273,71,55
1274,79,79
1275,27,80
1276,128,126
1277,129,70
1278,108,108
1279,64,77
1280,109,43
1281,31,29
1282,112,103
1283,85,36
1284,108,108
1285,131,70
1286,85,85
1287,103,103
1288,97,103
1289,100,100
1290,108,108
1291,25,25
1292,19,19
1293,103,103
1294,57,103
1295,103,103
1296,126,108
1297,111,108
1298,122,80
1299,96,108
1300,26,84
1301,6,49
1302,78,91
1303,51,101
1304,128,79
1305,44,108
1306,33,19
1307,108,108
1308,88,85
1309,29,19
1310,35,49
1311,109,109
1312,111,72
1313,25,49
1314,109,108
1315,53,52
1316,20,19
1317,20,25
1318,18,18
1319,112,133
1320,46,85
1321,129,77
1322,108,108
1323,23,25
1324,109,108
1325,44,102
1326,31,22
1327,104,104
1328,108,108
1329,1,1
1330,24,22
1331,31,34
1332,84,100
1333,20,19
1334,100,100
1335,83,85
1336,70,55
1337,63,84
1338,15,22
1339,96,108
1340,113,100
1341,63,77
1342,25,77
1343,132,103
1344,99,99
1345,35,49
1346,80,102
1347,86,126
1348,41,77
1349,18,125
1350,125,79
1351,76,108
1352,25,84
1353,28,28
1354,109,108
1355,65,18
1356,102,133
1357,34,34
1358,111,88
1359,85,85
1360,39,108
1361,82,88
1362,125,80
1363,24,67
1364,103,103
1365,104,103
1366,104,108
1367,60,71
1368,113,58
1369,69,67
1370,9,1
1371,37,36
1372,65,98
1373,78,25
1374,60,42
1375,19,19
1376,97,108
1377,53,67
1378,109,108
1379,22,24
1380,73,106
1381,66,84
1382,106,103
1383,108,108
1384,25,25
1385,65,18
1386,108,108
1387,86,85
1388,28,100
1389,109,108
1390,98,77
1391,75,36
1392,25,42
1393,67,49
1394,0,134
1395,48,67
1396,56,70
1397,79,25
1398,108,108
1399,36,36
1400,48,49
1401,6,53
1402,21,49
1403,100,100
1404,0,108
1405,24,134
1406,2,108
1407,108,108
1408,49,25
1409,133,103
1410,108,108
1411,34,22
1412,109,108
1413,125,36
1414,111,108
1415,132,132
1416,97,108
1417,25,70
1418,100,49
1419,134,108
1420,44,77
1421,66,66
1422,102,132
1423,113,75
1424,55,68
1425,37,77
1426,52,52
1427,36,36
1428,31,34
1429,54,49
1430,123,85
1431,125,125
1432,128,79
1433,105,133
1434,113,98
1435,132,132
1436,128,26
1437,70,70
1438,25,79
1439,79,79
1440,71,70
1441,9,58
1442,70,70
1443,42,36
1444,55,70
1445,19,19
1446,23,22
1447,100,49
1448,82,82
1449,97,108
1450,125,86
1451,112,134
1452,25,67
1453,22,49
1454,103,103
1455,111,109
1456,38,108
1457,108,108
1458,0,109
1459,67,55
1460,66,121
1461,52,25
1462,25,49
1463,36,108
1464,31,22
1465,17,26
1466,76,77
1467,59,103
1468,25,108
1469,109,108
1470,111,103
1471,53,66
1472,108,108
1473,116,113
1474,112,98
1475,0,108
1476,108,108
1477,15,25
1478,109,108
1479,103,133
1480,134,126
1481,68,70
1482,51,108
1483,132,132
1484,111,9
1485,129,132
1486,104,103
1487,106,58
1488,78,78
1489,52,67
1490,7,70
1491,85,84
1492,104,108
1493,69,100
1494,55,70
1495,50,22
1496,103,103
1497,120,85
1498,25,108
1499,80,19
1500,11,83
1501,52,52
1502,58,75
1503,79,79
1504,133,25
1505,103,103
1506,50,49
1507,2,108
1508,34,99
1509,45,36
1510,1,1
1511,85,85
1512,104,103
1513,100,100
1514,63,77
1515,2,109
1516,100,100
1517,109,108
1518,112,134
1519,55,55
1520,98,113
1521,52,100
1522,51,52
1523,113,84
1524,85,75
1525,33,22
1526,80,19
1527,69,70
1528,66,69
1529,129,70
1530,108,108
1531,108,108
1532,109,0
1533,103,103
1534,35,70
1535,112,77
1536,109,108
1537,25,70
1538,25,103
1539,113,58
1540,33,25
1541,76,98
1542,112,108
1543,109,0
1544,85,42
1545,43,43
1546,49,49
1547,51,52
1548,91,25
1549,7,71
1550,103,103
1551,48,67
1552,117,92
1553,132,132
1554,96,108
1555,86,36
1556,132,132
1557,78,80
1558,70,70
1559,26,53
1560,52,51
1561,81,19
1562,86,42
1563,109,108
1564,132,85
1565,130,70
1566,79,126
1567,104,103
1568,102,77
1569,62,80
1570,102,133
1571,96,108
1572,134,108
1573,105,71
1574,99,82
1575,29,28
1576,24,26
1577,70,71
1578,133,103
1579,76,0
1580,50,22
1581,49,22
1582,76,108
1583,116,58
1584,61,108
1585,128,28
1586,110,108
1587,2,108
1588,77,77
1589,42,108
1590,109,108
1591,31,19
1592,2,2
1593,48,102
1594,24,19
1595,86,43
1596,79,79
1597,48,25
1598,102,25
1599,134,86
1600,50,49
1601,108,108
1602,68,25
1603,105,106
1604,113,100
1605,108,108
1606,57,58
1607,71,42
1608,77,59
1609,103,103
1610,42,68
1611,115,58
1612,108,108
1613,125,53
1614,75,82
1615,77,77
1616,42,42
1617,85,85
1618,103,103
1619,104,103
1620,77,77
1621,40,106
1622,108,134
1623,112,70
1624,75,76
1625,124,132
1626,101,100
1627,103,103
1628,96,108
1629,86,82
1630,111,103
1631,79,28
1632,58,58
1633,133,132
1634,23,84
1635,21,22
1636,58,104
1637,101,101
1638,70,70
1639,108,108
1640,98,108
1641,85,82
1642,34,19
1643,81,80
1644,98,77
1645,108,108
1646,86,108
1647,34,49
1648,66,75
1649,123,85
1650,49,49
1651,133,103
1652,132,108
1653,109,108
1654,78,80
1655,111,108
1656,100,100
1657,110,0
1658,87,71
1659,58,58
1660,50,49
1661,90,91
1662,43,43
1663,121,121
1664,66,92
1665,123,81
1666,35,35
1667,70,70
1668,58,58
1669,67,132
1670,82,76
1671,44,70
1672,82,65
1673,58,103
1674,82,82
1675,85,85
1676,86,43
1677,67,70
1678,58,58
1679,70,70
1680,14,27
1681,9,9
1682,109,108
1683,52,100
1684,85,85
1685,54,55
1686,103,103
1687,108,108
1688,103,103
1689,68,85
1690,106,58
1691,102,58
1692,18,17
1693,45,124
1694,125,124
1695,69,70
1696,78,78
1697,108,108
1698,108,108
1699,84,24
1700,55,70
1701,19,19
1702,86,132
1703,76,108
1704,112,112
1705,4,26
1706,76,59
1707,2,108
1708,98,77
1709,33,25
1710,112,112
1711,103,103
1712,108,108
1713,19,19
1714,100,52
1715,118,79
1716,85,85
1717,18,18
1718,21,22
1719,59,58
1720,76,108
1721,91,91
1722,78,79
1723,108,108
1724,40,102
1725,33,19
1726,109,108
1727,134,132
1728,77,108
1729,28,28
1730,1,1
1731,108,108
1732,97,108
1733,31,22
1734,70,70
1735,97,108
1736,109,108
1737,85,86
1738,50,67
1739,22,21
1740,111,108
1741,19,19
1742,67,49
1743,54,108
1744,34,22
1745,108,108
1746,57,108
1747,128,91
1748,58,103
1749,24,70
1750,77,108
1751,111,109
1752,67,91
1753,110,108
1754,25,19
1755,76,77
1756,22,22
1757,58,58
1758,106,106
1759,62,132
1760,0,108
1761,75,85
1762,100,98
1763,68,68
1764,2,108
1765,59,2
1766,99,99
1767,96,108
1768,109,108
1769,84,68
1770,9,58
1771,84,85
1772,103,103
1773,67,80
1774,109,108
1775,19,19
1776,70,70
1777,20,19
1778,26,84
1779,42,85
1780,86,85
1781,108,108
1782,108,108
1783,133,103
1784,98,77
1785,94,19
1786,90,78
1787,83,99
1788,70,100
1789,123,26
1790,36,36
1791,108,108
1792,103,103
1793,53,98
1794,44,108
1795,36,108
1796,75,108
1797,103,103
1798,32,91
1799,26,51
1800,4,4
1801,70,70
1802,109,108
1803,84,67
1804,71,70
1805,86,85
1806,86,102
1807,23,25
1808,107,102
1809,109,108
1810,78,22
1811,58,58
1812,9,27
1813,2,108
1814,42,91
1815,32,19
1816,68,85
1817,71,53
1818,103,77
1819,19,19
1820,84,85
1821,48,49
1822,130,70
1823,27,127
1824,16,17
1825,86,124
1826,104,133
1827,103,103
1828,77,77
1829,96,91
1830,40,106
1831,78,78
1832,64,77
1833,26,21
1834,103,103
1835,80,91
1836,62,107
1837,77,58
1838,24,47
1839,83,84
1840,85,42
1841,67,70
1842,33,28
1843,70,70
1844,127,126
1845,108,108
1846,108,108
1847,32,49
1848,38,42
1849,66,75
1850,83,18
1851,47,36
1852,133,103
1853,118,91
1854,60,111
1855,108,108
1856,10,75
1857,71,67
1858,64,112
1859,77,77
1860,80,80
1861,103,133
1862,108,108
1863,67,83
1864,111,85
1865,52,67
1866,82,82
1867,94,27
1868,86,36
1869,22,49
1870,54,101
1871,18,18
1872,56,71
1873,97,59
1874,70,70
1875,77,102
1876,68,26
1877,2,0
1878,10,108
1879,34,22
1880,53,78
1881,28,79
1882,57,124
1883,67,121
1884,68,70
1885,45,108
1886,111,88
1887,32,25
1888,111,108
1889,108,108
1890,84,85
1891,26,26
1892,109,108
1893,112,77
1894,124,36
1895,44,108
1896,51,101
1897,126,85
1898,21,25
1899,42,111
1900,77,77
1901,84,108
1902,34,22
1903,9,49
1904,85,83
1905,24,108
1906,25,25
1907,58,58
1908,100,101
1909,75,77
1910,108,108
1911,44,42
1912,76,108
1913,49,49
1914,27,127
1915,126,27
1916,27,79
1917,46,85
1918,24,85
1919,112,108
1920,85,82
1921,88,77
1922,37,76
1923,78,25
1924,91,79
1925,52,100
1926,73,100
1927,80,91
1928,108,108
1929,85,85
1930,108,108
1931,108,108
1932,78,25
1933,104,103
1934,44,108
1935,132,67
1936,84,85
1937,90,67
1938,32,122
1939,26,17
1940,19,19
1941,108,108
1942,70,70
1943,104,112
1944,48,52
1945,85,85
1946,52,51
1947,10,108
1948,26,91
1949,100,77
1950,58,58
1951,104,103
1952,22,34
1953,85,85
1954,87,85
1955,103,108
1956,70,70
1957,51,101
1958,68,68
1959,109,108
1960,103,103
1961,113,108
1962,31,25
1963,108,108
1964,76,108
1965,18,25
1966,83,25
1967,109,108
1968,104,78
1969,57,124
1970,112,77
1971,42,71
1972,45,108
1973,11,109
1974,126,108
1975,128,91
1976,44,108
1977,108,108
1978,26,52
1979,128,28
1980,111,84
1981,64,108
1982,103,103
1983,122,70
1984,24,17
1985,45,82
1986,91,79
1987,102,133
1988,34,22
1989,76,108
1990,85,53
1991,64,112
1992,62,58
1993,116,115
1994,36,36
1995,112,112
1996,134,24
1997,46,102
1998,85,85
1999,80,80
2000,24,25
2001,71,9
2002,108,108
2003,41,18
2004,125,76
2005,134,133
2006,25,70
2007,112,77
2008,102,132
2009,27,124
2010,66,77
2011,81,85
2012,58,104
2013,48,49
2014,49,49
2015,88,88
2016,76,108
2017,108,112
2018,21,22
2019,97,108
2020,25,88
2021,87,70
2022,108,108
2023,113,44
2024,42,43
2025,86,85
2026,25,25
2027,26,17
2028,78,28
2029,127,26
2030,53,22
2031,132,132
2032,96,108
2033,130,70
2034,40,106
2035,86,108
2036,109,108
2037,97,108
2038,100,80
2039,78,79
2040,102,103
2041,90,80
2042,112,111
2043,10,108
2044,85,85
2045,108,108
2046,108,108
2047,84,84
2048,2,108
2049,79,91
2050,108,108
2051,113,77
2052,130,70
2053,104,103
2054,85,84
2055,133,103
2056,128,28
2057,56,67
2058,104,103
2059,106,103
2060,65,84
2061,77,77
2062,51,99
2063,59,58
2064,100,100
2065,26,28
2066,49,22
2067,103,103
2068,58,58
2069,109,108
2070,49,22
2071,76,108
2072,58,58
2073,111,109
2074,36,36
2075,1,0
2076,99,100
2077,109,108
2078,86,85
2079,135,125
2080,108,108
2081,126,85
2082,127,126
2083,109,108
2084,108,109
2085,77,77
2086,127,85
2087,24,99
2088,38,77
2089,71,84
2090,108,108
2091,3,113
2092,102,104
2093,108,108
2094,83,25
2095,103,103
2096,104,58
2097,28,28
2098,84,26
2099,78,79
2100,26,68
2101,83,25
2102,125,80
2103,99,101
2104,80,79
2105,28,79
2106,56,67
2107,21,22
2108,104,108
2109,100,100
2110,30,25
2111,66,84
2112,58,76
2113,78,79
2114,103,103
2115,111,132
2116,25,25
2117,58,58
2118,131,70
2119,52,100
2120,103,58
2121,101,100
2122,99,77
2123,29,19
2124,38,91
2125,113,62
2126,57,58
2127,81,84
2128,55,55
2129,70,70
2130,44,104
2131,101,17
2132,101,100
2133,67,68
2134,26,78
2135,84,84
2136,124,126
2137,58,58
